iso3,date,cpi,fx,policy_rate,money_market_rate,exports_usd,imports_usd,reserves_total_usd,reserves_exgold_usd,xprice_ix,mprice_ix,shock_ix,shock_rw_ix,vintage,log_cpi,infl_yoy,infl_mom,infl_yoy_w,d_log_fx_12m,fx_vol_12m,log_shock,d_shock_12m,shock_pos,shock_neg,log_reserves,monthly_imports_approx,reserves_months,state_peg,low_buffer,d_policy_rate_12m,d_log_exports_usd_12m,d_log_imports_usd_12m
AZE,2018-06-01,151.9,1.7,10.29,,1291626500.0,805000000.0,6602427289.167654,6602427289.167654,96.4767227172852,99.0771484375,97.3753814697266,96.3054275512695,2026-08,5.023222409601727,2.263745135897288,-0.6561703333288982,2.263745135897288,-0.12913227465300992,0.0179540803967592,4.578573421715733,11.87595518964848,11.87595518964848,0.0,22.61070318945359,836147800.0,7.896244287394709,1.0,0.0,2.7399999999999993,13.879004393873018,30.51626673183634
AZE,2018-07-01,151.0,1.7,10.25,,2085924900.0,1116962100.0,6674337873.050807,6674337873.050807,96.6456832885742,98.939323425293,97.6818008422852,96.5450897216797,2026-08,5.017279836814924,1.5348983348815182,-0.5942572786802991,1.5348983348815182,-0.10260389069006726,0.01746264248244766,4.581715265773837,11.554120600641227,11.554120600641227,0.0,22.621535841264002,849237741.6666666,7.859210142912541,1.0,0.0,1.7699999999999996,60.822399542594496,15.155667464768996
AZE,2018-08-01,152.3,1.7,10.1,,2131465800.0,1086386300.0,6283234104.667797,6283234104.667797,95.9636993408203,98.9704818725586,96.9619674682617,95.9024505615234,2026-08,5.025852259901116,2.1905953955656976,0.8572423086191883,2.1905953955656976,-0.04799607017621499,0.009805826724496793,4.574318813660737,9.162553701764775,9.162553701764775,0.0,22.56115066968706,862104458.3333334,7.288251491953635,1.0,0.0,0.5099999999999998,42.60493129683596,15.3294675048123
AZE,2018-09-01,152.7,1.7,10.0,,1394710900.0,1041620600.0,6435035747.878082,6435035747.878082,97.4138259887695,98.8842010498047,98.5130615234375,97.5208969116211,2026-08,5.028475212224587,1.717347358517074,0.2622952323470429,1.717347358517074,-0.046067818523198856,0.009858514386028609,4.590189143685728,9.16891956847925,9.16891956847925,0.0,22.58502323320488,875874366.6666666,7.346984901919247,1.0,0.0,-1.0099999999999998,16.792850919011215,17.273132189749063
AZE,2018-10-01,153.0,1.7,9.84,,1696211800.0,1347479400.0,6614096921.851841,6614096921.851841,97.8495788574219,99.0316848754883,98.8063507080078,97.9661636352539,2026-08,5.030437921392435,0.7874056430905441,0.19627091678486863,0.7874056430905441,-0.011764013895099179,0.0022895681009716252,4.593161881109184,8.506736375848956,8.506736375848956,0.0,22.612469105443374,923097933.3333334,7.165108579506993,1.0,0.0,-2.3599999999999994,31.949088755540345,54.567633451551956
AZE,2018-11-01,153.9,1.7,9.2,,1947901300.0,1042687100.0,6624256324.881269,6624256324.881269,92.079460144043,98.8398132324219,93.1603012084961,92.093132019043,2026-08,5.0363030408448335,1.2422519998557036,0.5865119452398204,1.2422519998557036,-0.011764013895099179,0.0022895681009716252,4.534321678249386,0.2655129052357097,0.2655129052357097,0.0,22.614003949669765,940604600.0,7.042551487502049,1.0,0.0,-2.8500000000000014,20.446138468108543,22.499454776304972
AZE,2018-12-01,155.1,1.7,9.79,,1540165100.0,1169394000.0,6696420864.420181,6696420864.420181,88.3316116333008,98.7993240356445,89.4050903320313,88.1939086914063,2026-08,5.044070070182493,1.5594857957906605,0.7767029337659714,1.5594857957906605,-0.0058821799375774475,0.001698039086100201,4.493177619395554,-4.297184742780402,0.0,-4.297184742780402,22.624839021267757,955414175.0,7.00891931441166,1.0,0.0,-2.3400000000000016,0.6216671058886902,16.484137784393127
AZE,2019-01-01,155.3574932,1.7,9.52,,1279407100.0,1023363500.0,6601533655.154492,6601533655.154492,89.4521560668945,98.7294998168945,90.6033020019531,89.2895278930664,2026-08,5.045728868985443,1.725365676085655,0.16587988029499456,1.725365676085655,-0.0058821799375774475,0.001698039086100201,4.506490658322469,-5.084759488912205,0.0,-5.084759488912205,22.610567830977708,983214566.6666666,6.714234999116496,1.0,0.0,-1.5899999999999999,20.841990452561276,39.45080590442522
AZE,2019-02-01,156.2353867,1.7,9.68,,1872326100.0,1132599400.0,6785437326.120294,6785437326.120294,91.3891525268555,98.544303894043,92.7391738891602,91.2199935913086,2026-08,5.051363759122764,2.0925837730328745,0.563489013732088,2.0925837730328745,-0.0058821799375774475,0.001698039086100201,4.529790971107813,-1.3535302209726652,0.0,-1.3535302209726652,22.638044583000674,1014029633.3333334,6.691557231730105,1.0,0.0,-1.120000000000001,46.811216992503546,39.52503666470584
AZE,2019-03-01,157.181551,1.7,9.69,,1332568100.0,969844000.0,6724782289.291446,6724782289.291446,92.5100555419922,98.2993545532227,94.1105575561523,92.3561096191406,2026-08,5.057401513056986,2.500472717921731,0.603775393422179,2.500472717921731,0.0,5.556011390331747e-08,4.544470235368632,-0.31590245225689983,0.0,-0.31590245225689983,22.629065388570723,1033255508.3333334,6.508344001125806,1.0,0.0,-1.0899999999999999,15.209530022098505,27.165667966204765
AZE,2019-04-01,157.7850107,1.7,9.75,,2605407600.0,1425760300.0,6625843218.518676,6625843218.518676,94.4860610961914,98.2306594848633,96.1879730224609,94.3506317138672,2026-08,5.061233414673142,3.079549328070641,0.3831901616155875,3.079549328070641,0.0,5.556011390331747e-08,4.5663043292994,-0.11310629359480018,0.0,-0.11310629359480018,22.614243478986477,1082523383.3333333,6.120739118000586,1.0,0.0,-0.9900000000000002,12.609004547398683,53.557286951904715
AZE,2019-05-01,157.1053144,1.7,9.91,,1531180000.0,1283872300.0,6859163975.881895,6859163975.881895,93.5461349487305,98.1171035766602,95.3413314819336,93.4413375854492,2026-08,5.056916372824363,2.713225988934642,-0.4317041848779013,2.713225988934642,0.0,5.556011390331747e-08,4.557463415296254,-2.6752752955773396,0.0,-2.6752752955773396,22.648851401852554,1120414083.3333333,6.1219901444609315,1.0,0.0,-0.5,-11.523226557403987,43.71940604070339
AZE,2019-06-01,156.3715265,1.7,9.94,,1358574100.0,1180790900.0,6786302052.057083,6786302052.057083,90.5302505493164,98.1866455078125,92.2022247314453,90.2195434570313,2026-08,5.052234755910475,2.9012346308747716,-0.46816169138876873,2.9012346308747716,0.0,5.556011390331747e-08,4.5239842596797395,-5.458916203599351,0.0,-5.458916203599351,22.63817201337844,1151729991.6666667,5.892268240958661,1.0,0.0,-0.34999999999999964,5.053341697177061,38.309746975838266
AZE,2019-07-01,156.4564425,1.7,9.85,,2288251400.0,1417438300.0,7005432246.840798,7005432246.840798,91.3912658691406,98.0758438110352,93.1843032836914,91.1255645751953,2026-08,5.052777648557556,3.549781174263167,0.05428926470809614,3.549781174263167,0.0,5.556011390331747e-08,4.534579287804473,-4.7135977969364085,0.0,-4.7135977969364085,22.669951720305026,1176769675.0,5.9531039893943545,1.0,0.0,-0.40000000000000036,9.25755910908741,23.823863899424325
AZE,2019-08-01,155.9562029,1.7,9.8,,1252209400.0,948315300.0,7226033827.249694,7226033827.249694,89.6555328369141,97.8053131103516,91.667366027832,89.3871459960938,2026-08,5.0495752171906725,2.3722957289556312,-0.32024313668834736,2.3722957289556312,0.0,5.556011390331747e-08,4.518166438363889,-5.61523752968478,0.0,-5.61523752968478,22.700956150985245,1165263758.3333333,6.201200179421205,1.0,0.0,-0.29999999999999893,-53.19004009667516,-13.592510437407057
AZE,2019-09-01,156.4971198,1.7,9.74,,1346334300.0,993414500.0,7082107977.35955,7082107977.35955,90.8089065551758,97.8407669067383,92.8129806518555,90.588508605957,2026-08,5.053037605976989,2.4562393752402656,0.34623887863167724,2.4562393752402656,0.0,5.556011390331747e-08,4.53058650772414,-5.960263596158821,0.0,-5.960263596158821,22.68083743725239,1161246583.3333333,6.0987115734114905,1.0,0.0,-0.2599999999999998,-3.53015877403422,-4.738504962194057
AZE,2019-10-01,157.1493527,1.7,9.67,,1955255100.0,1077706200.0,7366272666.658053,7366272666.658053,89.7947998046875,98.0716400146484,91.5604400634766,89.5145645141602,2026-08,5.057196644240502,2.6758722848066796,0.41590382635128265,2.6758722848066796,0.0,5.556011390331747e-08,4.516999301358056,-7.616257975112806,0.0,-7.616257975112806,22.720177671207615,1138765483.3333333,6.46864764911551,1.0,0.0,-0.16999999999999993,14.212325921021929,-22.340084251800363
AZE,2019-11-01,157.8782768,1.7,9.41,,1481980200.0,929337600.0,7269776612.221053,7269776612.221053,91.1331481933594,98.3276443481445,92.6831665039063,90.8967819213867,2026-08,5.061824336116384,2.552129527155067,0.46276918758820784,2.552129527155067,0.0,5.556011390331747e-08,4.5291868649700255,-0.5134813279360273,0.0,-0.5134813279360273,22.706991400677385,1129319691.6666667,6.437306163936811,1.0,0.0,0.21000000000000085,-27.337337012482266,-11.50843356852711
AZE,2019-12-01,158.7250947,1.7,9.37,,1332255200.0,1285199500.0,7069418581.86676,7069418581.86676,92.5295104980469,98.4484710693359,93.9877853393555,92.2367477416992,2026-08,5.067173741685726,2.310367150323245,0.5349405569341492,2.310367150323245,0.0,5.556011390331747e-08,4.543164830628309,4.998721123275551,4.998721123275551,0.0,22.67904407611349,1138970150.0,6.206851498142212,1.0,0.0,-0.41999999999999993,-14.501647311293908,9.442829330503955
AZE,2020-01-01,159.6235632,1.7,9.35,,2130205300.0,720918000.0,7403041069.667313,7403041069.667313,91.9918212890625,98.6080856323242,93.2903671264648,91.499626159668,2026-08,5.0728183132158735,2.708944423043036,0.5644571530147857,2.708944423043036,0.0,5.556011390331747e-08,4.535716856290079,2.9226197967609835,2.9226197967609835,0.0,22.725156708097956,1113766358.3333333,6.646852828941073,1.0,0.0,-0.16999999999999993,50.982159255830695,-35.03246304181715
AZE,2020-02-01,160.7508477,1.7,9.1,,1119162300.0,1066582900.0,7646421691.316065,7646421691.316065,88.3513793945313,98.3250961303711,89.8564147949219,87.7293167114258,2026-08,5.079855636509734,2.849187738697001,0.7037323293860531,2.849187738697001,0.0,5.556011390331747e-08,4.498213005171052,-3.157796593676121,0.0,-3.157796593676121,22.75750362258526,1108264983.3333333,6.899452573443122,1.0,0.0,-0.5800000000000001,-51.46011025755648,-6.0055358139049275
AZE,2020-03-01,162.3224464,1.7,8.96,,957397400.0,849468400.0,7108692145.850464,7108692145.850464,76.3186721801758,97.8253936767578,78.0152206420898,75.5815124511719,2026-08,5.089584766867761,3.2183253810774914,0.9729130358026694,3.2183253810774914,0.0,5.556011390331747e-08,4.356903944090003,-18.75662912786291,0.0,-18.75662912786291,22.68458411811017,1098233683.3333333,6.472841120911833,1.0,0.0,-0.7299999999999986,-33.06447004095254,-13.25244917533368
AZE,2020-04-01,162.4612342,1.7,8.74,,2099976400.0,745252300.0,7922754209.249181,7922754209.249181,69.4251327514648,97.4742126464844,71.2241287231445,68.5370788574219,2026-08,5.090439414540892,2.920599986775052,0.08546476731314812,2.920599986775052,0.0,5.556011390331747e-08,4.265831647569867,-30.047268172953245,0.0,-30.047268172953245,22.793004736013522,1041524683.3333334,7.606880889171931,1.0,0.0,-1.0099999999999998,-21.566302472458077,-64.87376755123826
AZE,2020-05-01,161.622658,1.7,8.43,,665495600.0,782605500.0,7807699929.602058,7807699929.602058,75.6432037353516,97.5483703613281,77.5443267822266,74.7791748046875,2026-08,5.085264346654475,2.834797383011267,-0.5175067886416862,2.834797383011267,0.0,5.556011390331747e-08,4.350849731333736,-20.661368396251767,0.0,-20.661368396251767,22.77837625417143,999752450.0,7.809633204301783,1.0,0.0,-1.4800000000000004,-83.32619327193314,-49.500728686780704
AZE,2020-06-01,161.0894805,1.7,8.46,,714357600.0,823696700.0,7529039914.09525,7529039914.09525,81.2107162475586,97.7460021972656,83.0834426879883,80.3860244750977,2026-08,5.0819599900993415,2.9725234188866523,-0.3304356555133836,2.9725234188866523,0.0,5.556011390331747e-08,4.419845436377445,-10.413882330229463,0.0,-10.413882330229463,22.742033369181037,969994600.0,7.761940029455061,1.0,0.0,-1.4799999999999986,-64.28072955363398,-36.01373675507453
AZE,2020-07-01,160.6452668,1.7,8.45,,1444910400.0,911120700.0,7502853024.806419,7502853024.806419,82.6627426147461,97.8177032470703,84.506965637207,81.821662902832,2026-08,5.079198622320486,2.6420973762929734,-0.2761367778855828,2.6420973762929734,0.0,5.556011390331747e-08,4.436833964542082,-9.774532326239083,0.0,-9.774532326239083,22.738549188461203,927801466.6666666,8.08670097468383,1.0,0.0,-1.4000000000000004,-45.974063238235274,-44.193112706671656
AZE,2020-08-01,160.3557813,1.7,8.53199646759821,,748835000.0,790609000.0,7322950559.634888,7322950559.634888,83.6775283813477,98.2903366088867,85.1330490112305,82.9064025878906,2026-08,5.077394979745539,2.78197625548664,-0.18036425749468066,2.78197625548664,0.0,5.556011390331747e-08,4.444215315197624,-7.395112316626484,0.0,-7.395112316626484,22.714279165621274,914659275.0,8.006205982697642,1.0,0.0,-1.2680035324017904,-51.41461245470609,-18.188350733733216
AZE,2020-09-01,160.5285573,1.7,8.53317292907331,,698883800.0,1132593800.0,7203951626.506202,7203951626.506202,82.1282424926758,98.6989288330078,83.2109069824219,81.3363571166992,2026-08,5.078471853845724,2.543424786873505,0.1076874100185421,2.543424786873505,0.0,5.556011390331747e-08,4.4213784327738805,-10.920807495025908,0.0,-10.920807495025908,22.697895549427223,926257550.0,7.777482220259583,1.0,0.0,-1.2068270709266908,-65.56563539618381,13.111768063185991
AZE,2020-10-01,160.7970879,1.7,8.54495417918794,,1654947900.0,943918600.0,7447282226.805423,7447282226.805423,81.965705871582,98.9924468994141,82.7999877929688,81.2066955566406,2026-08,5.08014324650625,2.294660226574763,0.1671392660525406,2.294660226574763,0.0,5.556011390331747e-08,4.4164279139632905,-10.057138739476557,0.0,-10.057138739476557,22.73111500101044,915108583.3333334,8.138140503150224,1.0,0.0,-1.1250458208120602,-16.675114288731052,-13.255023896469709
AZE,2020-11-01,161.591152,1.7,8.59455411693772,,826427700.0,918058100.0,7126021327.518964,7126021327.518964,83.3285903930664,99.2025527954102,83.9984664916992,82.5503463745117,2026-08,5.085069392112776,2.3245055996391706,0.49261456065261555,2.3245055996391706,0.0,5.556011390331747e-08,4.43079854262547,-9.838832234455541,0.0,-9.838832234455541,22.687018897041515,914168625.0,7.795084115382941,1.0,0.0,-0.8154458830622797,-58.402200932215464,-1.2211395928371616
AZE,2020-12-01,162.8695956,1.7,8.59380607718784,,680218100.0,1061405600.0,7775084753.013054,7775084753.013054,86.6150436401367,99.479362487793,87.0683822631836,85.9199142456055,2026-08,5.0929498536205156,2.5776111934789903,0.7880461507739689,2.5776111934789903,0.0,5.556011390331747e-08,4.466693812941074,-7.647101768723541,0.0,-7.647101768723541,22.774190195661372,895519133.3333334,8.682209529206098,1.0,0.0,-0.7761939228121584,-67.22149423008972,-19.13198917667458
AZE,2021-01-01,164.8240252,1.7,8.44719791787828,,1623974200.0,790325100.0,7814532464.765562,7814532464.765562,89.0012588500977,100.055641174316,88.951789855957,88.356803894043,2026-08,5.1048783908305015,3.2060077614628035,1.192853720998599,3.2060077614628035,0.0,5.556011390331747e-08,4.488094535955009,-4.762232033507008,0.0,-4.762232033507008,22.77925097366435,901303058.3333334,8.67026067704241,1.0,0.0,-0.9028020821217204,-27.134200513934204,9.191897990985964
AZE,2021-02-01,167.512544,1.7,8.64370645263686,,1163976800.0,823046600.0,7669262307.234494,7669262307.234494,92.0232162475586,99.8872909545898,92.1270751953125,91.230354309082,2026-08,5.121058238013277,4.120260150354316,1.6179847182775653,4.120260150354316,0.0,5.556011390331747e-08,4.52316887612079,2.495587094973839,2.495587094973839,0.0,22.76048626872153,881008366.6666666,8.705095884902297,1.0,0.0,-0.4562935473631402,3.926195881218675,-25.920244459765485
AZE,2021-03-01,168.9469633,1.7,8.65656452947529,,1349901500.0,917078600.0,7731196850.521813,7731196850.521813,93.1927032470703,99.7183074951172,93.4559860229492,92.4588775634766,2026-08,5.129584839041973,4.000007217421242,0.8526601028695957,4.000007217421242,0.0,5.556011390331747e-08,4.537490587740388,18.058664365038535,18.058664365038535,0.0,22.768529519452088,886642550.0,8.719632111634857,1.0,0.0,-0.3034354705247111,34.35683445411897,7.6582440800780915
AZE,2021-04-01,169.4750592,1.7,8.69058943967539,,2226327600.0,998243000.0,7677160303.22941,7677160303.22941,92.6655120849609,99.9094161987305,92.7495574951172,91.9339218139648,2026-08,5.132705772631026,4.226635809013413,0.31209335890531875,4.226635809013413,0.0,5.556011390331747e-08,4.529902930534031,26.40712829641636,26.40712829641636,0.0,22.76151556354713,907725108.3333334,8.457582843913375,1.0,0.0,-0.049410560324609776,5.842730526526552,29.22739148811715
AZE,2021-05-01,169.5542376,1.7,8.75276508320399,,1062906100.0,863273700.0,7708723356.843415,7708723356.843415,93.8433609008789,100.455017089844,93.4183197021484,93.073844909668,2026-08,5.1331728614766625,4.7908514822187165,0.04670888456361766,4.7908514822187165,0.0,5.556011390331747e-08,4.537087468422676,18.62377370889403,18.62377370889403,0.0,22.765618428041325,914447458.3333334,8.429924854177287,1.0,0.0,0.3227650832039899,46.82300132959085,9.810305267324537
AZE,2021-06-01,168.7197786,1.7,8.77134965834739,,1383891600.0,996885200.0,7448415043.740018,7448415043.740018,95.7966232299805,100.208129882813,95.5976791381836,95.2130126953125,2026-08,5.128239223936372,4.627923383703081,-0.4933637540290192,4.627923383703081,0.0,5.556011390331747e-08,4.560148542965426,14.03031065879814,14.03031065879814,0.0,22.731267100897572,928879833.3333334,8.01870680840491,1.0,0.0,0.3113496583473889,66.12711321136722,19.08332382695832
AZE,2021-07-01,170.266492,1.7,8.77311186477458,,2582449700.0,907220800.0,7586216512.671035,7586216512.671035,95.9518508911133,100.292190551758,95.6723327636719,95.4457550048828,2026-08,5.137364809647932,5.816618732744594,0.9125585711559303,5.816618732744594,0.0,5.556011390331747e-08,4.560929152832461,12.409518829037935,12.409518829037935,0.0,22.74959882089086,928554841.6666666,8.169917566801447,1.0,0.0,0.32311186477457987,58.06911318497754,-0.42895198507437726
AZE,2021-08-01,171.0595429,1.7,8.73651320596142,,1541765500.0,1051642700.0,7967957149.840359,7967957149.840359,94.1905288696289,100.643829345703,93.5879974365234,93.6665115356445,2026-08,5.1420116999872505,6.461672024171161,0.46468903393188654,6.461672024171161,0.0,5.556011390331747e-08,4.538902142745279,9.468682754765467,9.468682754765467,0.0,22.798693979433168,950307650.0,8.38460802650632,1.0,0.0,0.2045167383632105,72.21648018076614,28.530516226710745
AZE,2021-09-01,174.1653677,1.7,8.72930731946025,,1694862000.0,995577500.0,7975960203.545881,7975960203.545881,95.527702331543,100.826522827148,94.7446441650391,95.2125015258789,2026-08,5.160005236961226,8.15333831155014,1.799353697397521,8.15333831155014,0.0,5.556011390331747e-08,4.551185316402235,12.98068836283548,12.98068836283548,0.0,22.79969788006816,938889625.0,8.495098881879626,1.0,0.0,0.19613439038694125,88.58721096381785,-12.894270873385949
AZE,2021-10-01,176.9069079,1.7,8.70626767801296,,2219088600.0,989979000.0,8276172138.379107,8276172138.379107,98.7407913208008,101.276382446289,97.4963912963867,98.4814300537109,2026-08,5.175623650148937,9.54804036426875,1.561841318771151,9.54804036426875,0.0,5.556011390331747e-08,4.579815364974076,16.338745101078533,16.338745101078533,0.0,22.836646396320877,942727991.6666666,8.778960857784128,1.0,0.0,0.16131349882502022,29.33270430778343,4.7643797168419155
AZE,2021-11-01,179.5199116,1.7,8.77960801509662,,2951656600.0,1076176700.0,7951562526.62854,7951562526.62854,97.4982223510742,101.258041381836,96.2869186401367,97.0925140380859,2026-08,5.190286129909968,10.521673779719176,1.4662479761030411,10.521673779719176,0.0,5.556011390331747e-08,4.567332469910752,13.653392728528146,13.653392728528146,0.0,22.79663429053037,955904541.6666666,8.318364627460184,1.0,0.0,0.18505389815890005,127.30094149197271,15.890926819193751
AZE,2021-12-01,182.3673631,1.7,8.80458561132219,,2407204100.0,1295053500.0,8290112834.954988,8290112834.954988,94.8430709838867,101.314918518066,93.6121673583984,94.5081405639648,2026-08,5.206023131257475,11.307327763695962,1.573700134750755,11.307327763695962,0.0,5.556011390331747e-08,4.539160368180451,7.246655523937751,7.246655523937751,0.0,22.838329416972638,975375200.0,8.49940908376078,1.0,0.0,0.2107795341343497,126.3807746498344,19.8957939591228
AZE,2022-01-01,185.3690644,1.7,8.78507945100766,,3086664100.0,976985700.0,8266057644.359533,8266057644.359533,98.4688568115234,101.166282653809,97.3336791992188,98.004264831543,2026-08,5.222348780525369,11.747038969486745,1.6325649267893816,11.747038969486745,0.0,5.556011390331747e-08,4.578145067010491,9.0050531055482,9.0050531055482,0.0,22.835423526682035,990930250.0,8.341714913193469,1.0,0.0,0.3378815331293801,64.22145735423719,21.202763549518977
AZE,2022-02-01,187.404205,1.7,8.85557582006162,,2895983100.0,997656400.0,8693721176.982624,8693721176.982624,100.907554626465,101.321273803711,99.5916900634766,100.407165527344,2026-08,5.233267808186517,11.220957017324018,1.0919027661148384,11.220957017324018,0.0,5.556011390331747e-08,4.601078728012194,7.790985189140365,7.790985189140365,0.0,22.885866898258296,1005481066.6666666,8.64633006547177,1.0,0.0,0.21186936742476092,91.1482221031946,19.23961072650755
AZE,2022-03-01,189.4737297,1.7,8.89800793758657,,2011301400.0,953008000.0,8971881859.289764,8971881859.289764,105.737411499023,102.011184692383,103.652778625488,105.343475341797,2026-08,5.244250385361066,11.466554631909265,1.0982577174548425,11.466554631909265,0.0,5.556011390331747e-08,4.641046646293697,10.355605855330907,10.355605855330907,0.0,22.91736128580588,1008475183.3333334,8.896482538752041,1.0,0.0,0.24144340811128018,39.87503484185666,3.8430115293593303
AZE,2022-04-01,191.4435952,1.7,9.03020130782098,,3839381100.0,1112978900.0,8703440349.696323,8703440349.696323,103.902946472168,101.897506713867,101.968109130859,103.307273864746,2026-08,5.254593223198122,12.188745056709571,1.0342837837056251,12.188745056709571,0.0,5.556011390331747e-08,4.624660108817512,9.475717828348085,9.475717828348085,0.0,22.886984226934004,1018036508.3333334,8.54924187733214,1.0,0.0,0.33961186814558886,54.495776989879374,10.879865967678626
AZE,2022-05-01,192.8544583,1.7,9.07646989247949,,3591668000.0,1095161300.0,8678995783.670322,8678995783.670322,105.478935241699,101.892387390137,103.519958496094,104.869087219238,2026-08,5.261935802354353,12.876294087769047,0.7342579156230933,12.876294087769047,0.0,5.556011390331747e-08,4.639764429826061,10.267696140338511,10.267696140338511,0.0,22.884171665800164,1037360475.0,8.366422273482438,1.0,0.0,0.32370480927550105,121.7609957994501,23.792514705749568
